element,redox_reactant,reactant_state,reactant_environment,process,redox_product,product_state,product_environment,mobility_effect,mediator,species_reactant_detail,species_product_detail,process_specific
Fe,Fe(III),oxidized,bulk oxic soil,reduction,Fe(II),reduced,anoxic microsite,increase,microbes,ferrihydrite/goethite,Fe(II) (aq),dissimilatory Fe(III) reduction
Fe,Fe(III),oxidized,bulk oxic soil,reduction,Fe(II),reduced,anoxic microsite,increase,OM,ferrihydrite/goethite,Fe(II) (aq),dissimilatory Fe(III) reduction
Fe,Fe(II) ,reduced,anoxic microsite,oxidation,Fe(III),oxidized,bulk oxic soil,decrease,carbonate,(aq),Siderite (FeCO₃),carbonate precipitation
Fe,Fe(II) ,reduced,anoxic microsite,sulfidation,Fe(II),reduced,anoxic microsite,decrease,sulfide,(aq),FeS (mackinawite/pyrite),sulfidation
Fe,Fe(II),reduced,anoxic microsite,oxidation,Fe(III),oxidized,bulk oxic soil,decrease,abiotic,(aq),Fe(III) (ferrihydrite/goethite),oxidation by O2
Mn,Mn(II),reduced,anoxic microsite,oxidation,Mn(IV),oxidized,bulk oxic soil,decrease,microbes,(aq),Mn(IV) oxides (birnessite),oxidation by O2
Mn,Mn(II),reduced,anoxic microsite,oxidation,Mn(IV),oxidized,bulk oxic soil,decrease,oxygen,(aq),Mn(IV) oxides (birnessite),oxidation by O2
Mn,Mn(IV),oxidized,bulk oxic soil,reduction,Mn(II),reduced,anoxic microsite,increase,Fe reduction,birnessite,Mn(II)_aq,reductive dissolution
Mn,Mn(IV),oxidized,bulk oxic soil,reduction,Mn(II),reduced,anoxic microsite,increase,OM,birnessite,Mn(II) (aq),reductive dissolution
Mn,Mn(IV),oxidized,bulk oxic soil,reduction,Mn(II),reduced,anoxic microsite,increase,microbes,birnessite,Mn(II) (aq),reductive dissolution
Mn,Mn(IV),oxidized,bulk oxic soil,reduction,Mn(II),reduced,anoxic microsite,increase,sulfide,birnessite,Mn(II) (aq),reductive dissolution
As,As(III),reduced,anoxic microsite,oxidation,As(V),oxidized,bulk oxic soil,decrease,Mn oxides,arsenite (aq),As(V) (arsenate) sorbed,abiotic oxidation by Mn oxides
As,As(III),reduced,anoxic microsite,oxidation,As(V),oxidized,bulk oxic soil,decrease,Fe oxides,arsenite (aq),As(V) (arsenate) sorbed,abiotic oxidation by Fe oxides
As,As(III),reduced,anoxic microsite,oxidation,As(V),oxidized,bulk oxic soil,decrease,oxygen,arsenite (aq),As(V) (arsenate) sorbed,abiotic oxidation by O2
As,As(V),oxidized,bulk oxic soil,reduction,As(III),reduced,anoxic microsite,increase,microbes,arsenate sorbed,As(III) (arsenite) (aq),dissimilatory As(V) reduction
As,As(III),reduced,anoxic microsite,sulfidation,As(III),reduced,anoxic microsite,decrease,sulfide,arsenite (aq),As₂S₃ (orpiment),sulfidation/precipitation
As,As(V),oxidized,bulk oxic soil,reduction,As(III),reduced,anoxic microsite,increase,Fe reduction,arsenate sorbed,As(III) (arsenite) (aq),Fe oxide reduction
As,As(III),reduced,anoxic microsite,sulfidation,As(III),reduced,anoxic microsite,decrease,Fe sulfidation,As(III)_aq,As(III)_sorbed_FeS_s,adsorption to FeS/FeS2 surfaces
Sb,Sb(III),reduced,anoxic microsite,oxidation,Sb(V),oxidized,bulk oxic soil,decrease,Fe oxides,(aq),Sb(V) (antimonate) sorbed,oxidation/adsorption
Sb,Sb(III),reduced,anoxic microsite,oxidation,Sb(V),oxidized,bulk oxic soil,decrease,Mn oxides,(aq),Sb(V) (antimonate) sorbed,oxidation/adsorption
Sb,Sb(V) ,oxidized,bulk oxic soil,reduction,Sb(III),reduced,anoxic microsite,increase,OM,antimonate sorbed,Sb(III) (aq),reductive dissolution
Sb,Sb(V),oxidized,bulk oxic soil,reduction,Sb(III),reduced,anoxic microsite,increase,microbes,antimonate sorbed,Sb(III) (aq),reductive dissolution
Sb,Sb(III),reduced,anoxic microsite,sulfidation,Sb(III),reduced,anoxic microsite,decrease,sulfide,(aq),Sb₂S₃ (stibnite),sulfidation/precipitation
Cr,Cr(III) ,reduced,anoxic microsite,oxidation,Cr(VI),oxidized,bulk oxic soil,increase,Mn oxides,hydroxide/oxyhydroxide (s),Cr(VI) (chromate) (aq),oxidation (less favored)
Cr,Cr(III),reduced,anoxic microsite,oxidation,Cr(VI),oxidized,bulk oxic soil,increase,oxygen,hydroxide/oxyhydroxide (s),Cr(VI) (chromate) (aq),oxidation (less favored)
Cr,Cr(VI) ,oxidized,bulk oxic soil,reduction,Cr(III),reduced,anoxic microsite,decrease,Fe(II),chromate (aq),Cr(III) (hydroxide/oxyhydroxide) (s),reduction
